protein2,i_redundancy,i_synergy,count_redundancy,count_synergy,i_sum,count_sum,synergy_score,synergy_fraction,independent_count,cooperative_count,total_count,independence_score
HIC2,-2.23,0.13,13.0,1.0,2.36,14.0,0.05508474576271187,0.07142857142857142,867.0,14.0,881.0,0.9841089670828603
HIF1A,-8.54,5.19,48.0,33.0,13.73,81.0,0.3780043699927167,0.4074074074074074,859.0,81.0,940.0,0.9138297872340425
HINFP,-57.910000000000004,70.23,339.0,352.0,128.14000000000001,691.0,0.5480724207897611,0.5094066570188133,2713.0,691.0,3404.0,0.7970035252643948
HLF,-1.8900000000000001,7.050000000000001,7.0,58.0,8.940000000000001,65.0,0.7885906040268456,0.8923076923076924,1277.0,65.0,1342.0,0.9515648286140089
HMBOX1,-0.42,3.79,2.0,23.0,4.21,25.0,0.9002375296912114,0.92,804.0,25.0,829.0,0.9698431845597105
HMX2,-0.13,3.17,1.0,24.0,3.3,25.0,0.9606060606060607,0.96,2033.0,25.0,2058.0,0.9878522837706512
HMX3,0.0,0.97,0.0,8.0,0.97,8.0,1.0,1.0,1915.0,8.0,1923.0,0.9958398335933437
HOXB2::ELK1,-131.31,106.49,562.0,450.0,237.8,1012.0,0.44781328847771235,0.44466403162055335,1451.0,1012.0,2463.0,0.5891189606171335
HOXB3,0.0,0.15,0.0,1.0,0.15,1.0,1.0,1.0,1159.0,1.0,1160.0,0.9991379310344828
HOXB7,0.0,0.1,0.0,1.0,0.1,1.0,1.0,1.0,1037.0,1.0,1038.0,0.9990366088631984
HOXB9,-5.57,6.8999999999999995,31.0,42.0,12.469999999999999,73.0,0.5533279871692061,0.5753424657534246,934.0,73.0,1007.0,0.9275074478649454
HOXC10,-5.12,9.17,28.0,56.0,14.29,84.0,0.6417074877536739,0.6666666666666666,1169.0,84.0,1253.0,0.9329608938547486
HOXC9,-5.57,6.8999999999999995,31.0,42.0,12.469999999999999,73.0,0.5533279871692061,0.5753424657534246,965.0,73.0,1038.0,0.9296724470134875
HSF1,-1.01,4.51,6.0,22.0,5.52,28.0,0.8170289855072465,0.7857142857142857,3486.0,28.0,3514.0,0.9920318725099602
HSF2,-1.01,3.72,6.0,16.0,4.73,22.0,0.7864693446088795,0.7272727272727273,4008.0,22.0,4030.0,0.9945409429280397
HSF4,-7.26,3.66,34.0,16.0,10.92,50.0,0.3351648351648352,0.32,3644.0,50.0,3694.0,0.9864645370871684
IKZF1,-92.88,237.17,574.0,1414.0,330.04999999999995,1988.0,0.7185880927132253,0.7112676056338029,10349.0,1988.0,12337.0,0.838858717678528
IKZF3,-422.77,610.29,2312.0,3110.0,1033.06,5422.0,0.5907594912202583,0.5735890815197344,15480.0,5422.0,20902.0,0.7405989857429911
IRF1,-21.76,53.1,123.0,321.0,74.86,444.0,0.7093240716003206,0.722972972972973,10884.0,444.0,11328.0,0.9608050847457628
IRF2,-38.89,48.49,215.0,315.0,87.38,530.0,0.5549324788281071,0.5943396226415094,6045.0,530.0,6575.0,0.9193916349809886
IRF3,-59.12,88.84,280.0,498.0,147.96,778.0,0.6004325493376588,0.6401028277634961,6546.0,778.0,7324.0,0.8937738940469688
IRF4,-22.98,25.88,128.0,154.0,48.86,282.0,0.5296766270978305,0.5460992907801419,2193.0,282.0,2475.0,0.8860606060606061
IRF7,-41.4,39.12,228.0,229.0,80.52,457.0,0.4858420268256334,0.5010940919037199,4364.0,457.0,4821.0,0.905206388716034
IRF8,-31.29,27.98,164.0,182.0,59.269999999999996,346.0,0.47207693605534,0.5260115606936416,3056.0,346.0,3402.0,0.8982951205173427
IRF9,-39.36,45.2,176.0,222.0,84.56,398.0,0.5345316934720908,0.5577889447236181,3345.0,398.0,3743.0,0.8936681806037937
JDP2,-1125.45,863.89,5613.0,4199.0,1989.3400000000001,9812.0,0.43425960368765515,0.4279453730126376,10069.0,9812.0,19881.0,0.5064634575725567
JUN,-358.0,750.55,2162.0,3885.0,1108.55,6047.0,0.6770556131883992,0.6424673391764512,12461.0,6047.0,18508.0,0.673276421007132
JUN::JUNB,-896.17,688.73,4418.0,3267.0,1584.9,7685.0,0.4345573853239952,0.425113858165257,8221.0,7685.0,15906.0,0.5168489878033447
JUNB,-988.58,868.91,5108.0,4336.0,1857.49,9444.0,0.4677871751664881,0.45912748835239303,11256.0,9444.0,20700.0,0.543768115942029
JUND,-510.87,825.0,2929.0,4291.0,1335.87,7220.0,0.617575063441802,0.5943213296398892,12856.0,7220.0,20076.0,0.6403666068938035
KLF1,-6058.35,1111.86,33069.0,6348.0,7170.21,39417.0,0.1550665880078826,0.16104726387091864,95266.0,39417.0,134683.0,0.7073350014478442
KLF10,-5780.2,1047.21,31561.0,5995.0,6827.41,37556.0,0.15338320095028715,0.15962828842262222,92116.0,37556.0,129672.0,0.7103769510765624
KLF11,-2958.51,474.04,15932.0,2701.0,3432.55,18633.0,0.13810141148708685,0.14495787044490957,32513.0,18633.0,51146.0,0.6356899855316154
KLF13,-497.44,104.84,2632.0,553.0,602.28,3185.0,0.1740718602643289,0.17362637362637362,4788.0,3185.0,7973.0,0.6005267778753293
KLF15,-7326.35,1544.4,39954.0,8952.0,8870.75,48906.0,0.17410027337034636,0.1830450251502883,123752.0,48906.0,172658.0,0.7167464003984756
KLF16,-4335.26,754.88,23637.0,4276.0,5090.14,27913.0,0.14830240425607152,0.15319026976677533,58522.0,27913.0,86435.0,0.6770636894776422
KLF2,-1197.48,223.12,6853.0,1336.0,1420.6,8189.0,0.15706039701534563,0.16314568323360606,16285.0,8189.0,24474.0,0.6654000163438751
KLF3,-654.5,163.08,3776.0,905.0,817.58,4681.0,0.19946671885320091,0.19333475753044221,11377.0,4681.0,16058.0,0.7084942084942085
KLF4,-273.11,287.91,1680.0,1634.0,561.02,3314.0,0.5131902605967702,0.4930597465298733,31689.0,3314.0,35003.0,0.9053224009370625
KLF5,-6490.82,1222.07,35533.0,7084.0,7712.889999999999,42617.0,0.15844514831664916,0.1662247459933829,92599.0,42617.0,135216.0,0.6848228020352621
KLF6,-729.05,147.36,4235.0,922.0,876.41,5157.0,0.16814048219440675,0.17878611595889082,14137.0,5157.0,19294.0,0.7327148336270343
KLF7,-5899.87,1111.93,32038.0,6464.0,7011.8,38502.0,0.15857982258478565,0.16788738247363774,96539.0,38502.0,135041.0,0.714886589998593
KLF9,-842.09,216.94,4702.0,1247.0,1059.03,5949.0,0.20484783245044993,0.20961506135484956,33778.0,5949.0,39727.0,0.8502529765650565
LBX2,-19.82,13.11,84.0,40.0,32.93,124.0,0.3981172183419374,0.3225806451612903,715.0,124.0,839.0,0.8522050059594756
LEF1,-1.3699999999999999,3.48,11.0,14.0,4.85,25.0,0.7175257731958763,0.56,2296.0,25.0,2321.0,0.989228780697975
LHX6,0.0,0.3,0.0,2.0,0.3,2.0,1.0,1.0,553.0,2.0,555.0,0.9963963963963964
LIN54,-0.24,3.72,2.0,28.0,3.96,30.0,0.9393939393939394,0.9333333333333333,3089.0,30.0,3119.0,0.9903815325424815
MAFA,-24.48,164.62,172.0,892.0,189.1,1064.0,0.8705446853516658,0.8383458646616542,4673.0,1064.0,5737.0,0.814537214572076
MAFF,-7.34,29.14,46.0,151.0,36.480000000000004,197.0,0.7987938596491228,0.766497461928934,3638.0,197.0,3835.0,0.9486310299869621
MAFG,-92.04,512.64,594.0,2732.0,604.68,3326.0,0.8477872593768605,0.8214070956103428,10537.0,3326.0,13863.0,0.7600807905936666
MAFG::NFE2L1,-114.14,469.6,723.0,2631.0,583.74,3354.0,0.804467742488094,0.7844364937388193,11078.0,3354.0,14432.0,0.76759977827051
MAFK,-108.12,535.61,691.0,2873.0,643.73,3564.0,0.8320413838099825,0.8061167227833894,12887.0,3564.0,16451.0,0.783356634855024
MAX,-33.85,35.72,131.0,211.0,69.57,342.0,0.5134397010205549,0.6169590643274854,1860.0,342.0,2202.0,0.8446866485013624
MAX::MYC,-33.83,51.54,188.0,322.0,85.37,510.0,0.6037249619304205,0.6313725490196078,2615.0,510.0,3125.0,0.8368
MAZ,-972.38,401.45,5639.0,2301.0,1373.83,7940.0,0.2922122824512494,0.2897984886649874,54537.0,7940.0,62477.0,0.8729132320694015
